name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,maps_url
Dr. Kunal Jadhav Neurologist,neurologist,Chikhali,,4.7,26,"Kush Neuro Cardiac Hospital Wakad, Wakad - Bhosari BRTS Rd, Above Reliance Digital, Near Hinjewadi Flyover Aundh, Wakad, Pimpri-Chinchwad, Maharashtra 411057",070103 25430,google_maps,N/A,18.5908785,73.7665166,"https://www.google.com/maps/place/Dr.+Kunal+Jadhav+Neurologist/@18.5908785,73.622321,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali!3m6!1s0x3bc2b946f0729e27:0x423d8f4cc5e4191!8m2!3d18.5908785!4d73.7665166!15sChduZXVyb2xvZ2lzdCBpbiBDaGlraGFsaVoZIhduZXVyb2xvZ2lzdCBpbiBjaGlraGFsaZIBC25ldXJvbG9naXN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIxWmQweFVaekZXVkVKMVdtMTBXR1JyYUVsTk1GcFpaV3hqTlZWV1JSQULgAQD6AQQIABAn!16s%2Fg%2F11qm6z24nm?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Advanced Brain & Spine Clinic,neurologist,Chikhali,,5.0,13,"Office no. 115, Westwood Estates, Kaspate Wasti, Wakad, Pimpri-Chinchwad, Pune, Maharashtra 411057",070588 07890,google_maps,http://www.bestneurologistpune.co.in/,18.5945453,73.768808,"https://www.google.com/maps/place/Advanced+Brain+%26+Spine+Clinic/@18.5908785,73.622321,12z/data=!3m1!5s0x3bc2bbd5c088ceaf:0xbc771b1f9d69dc44!4m10!1m2!2m1!1sneurologist+in+Chikhali!3m6!1s0x3bc2b971ee264c21:0xc80b47713cdb12b8!8m2!3d18.5945453!4d73.768808!15sChduZXVyb2xvZ2lzdCBpbiBDaGlraGFsaVoZIhduZXVyb2xvZ2lzdCBpbiBjaGlraGFsaZIBC25ldXJvbG9naXN04AEA!16s%2Fg%2F11wbk6gmq6?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Jeevan Clinic,neurologist,Chikhali,,4.9,112,"Newale Vasti Rd, opp. to Siddhi College of Pharmacy Main gate, Vitthal Nagar, Newale Wasti, Chikhali, Pune, Pimpri-Chinchwad, Maharashtra 411062",088889 72299,google_maps,N/A,18.6746942,73.8070846,"https://www.google.com/maps/place/Jeevan+Clinic/@18.5908785,73.622321,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali!3m6!1s0x3bc2b716d9b9a2b7:0x840b6da90aa122f7!8m2!3d18.6746942!4d73.8070846!15sChduZXVyb2xvZ2lzdCBpbiBDaGlraGFsaVoZIhduZXVyb2xvZ2lzdCBpbiBjaGlraGFsaZIBBmRvY3RvcuABAA!16s%2Fg%2F11kcb6fk8v?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Amol Mahajani | Neurologist | Neuro Physician | Headache | migraine | Stroke | Vertigo Specialist | Pune,neurologist,Chikhali,,4.9,462,"Office no 302, Grand Helios building, near hotel ambassador, Model Colony, Shivajinagar, Pune, Maharashtra 411016",098901 44933,google_maps,https://denovohealthcare.in/team-members/dr-amol-mahajani/,18.5282103,73.8405107,"https://www.google.com/maps/place/Dr.+Amol+Mahajani+%7C+Neurologist+%7C+Neuro+Physician+%7C+Headache+%7C+migraine+%7C+Stroke+%7C+Vertigo+Specialist+%7C+Pune/@18.5282103,73.6963151,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali!3m6!1s0x3bc2c101528e4c27:0x945914da70d65972!8m2!3d18.5282103!4d73.8405107!15sChduZXVyb2xvZ2lzdCBpbiBDaGlraGFsaVoZIhduZXVyb2xvZ2lzdCBpbiBjaGlraGFsaZIBC25ldXJvbG9naXN04AEA!16s%2Fg%2F11qn824pp2?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Moshi Multispeciality Hospital,neurologist,Chikhali,,4.6,273,"besides bhart petrol pump, Dehu - Alandi Rd, in front of D-Mart, MIDC, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 412105",077988 13085,google_maps,https://moshihospital.co.in/,18.6794676,73.8372317,"https://www.google.com/maps/place/Moshi+Multispeciality+Hospital/@18.6794676,73.6930361,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali!3m6!1s0x3bc2b70fd13a96cd:0x99cd94900a11a0de!8m2!3d18.6794676!4d73.8372317!15sChduZXVyb2xvZ2lzdCBpbiBDaGlraGFsaVoZIhduZXVyb2xvZ2lzdCBpbiBjaGlraGFsaZIBCGhvc3BpdGFs4AEA!16s%2Fg%2F11q84w_t35?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Neurotherapy Pune_ Ramesh Mane,neurologist,Chikhali,,4.9,55,"Hospital, Sector No.27A,Plotno.83, Backside Lane Of Axix Bank, Landmark Lokmany, Pune, Maharashtra 411044",070280 20487,google_maps,N/A,18.654042,73.773719,"https://www.google.com/maps/place/Neurotherapy+Pune_+Ramesh+Mane/@18.6794676,73.6930361,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali!3m6!1s0x3bc2b970dd9002a7:0x46022b7a0307efdb!8m2!3d18.654042!4d73.773719!15sChduZXVyb2xvZ2lzdCBpbiBDaGlraGFsaVoZIhduZXVyb2xvZ2lzdCBpbiBjaGlraGFsaZIBG29jY3VwYXRpb25hbF9oZWFsdGhfc2VydmljZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSRWQzQmxlRkozRUFF4AEA-gEECA4QJw!16s%2Fg%2F11g079twn5?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Nilesh Nadkarni Neurologist,neurologist,Chikhali,,4.8,69,"O-402, Greens Centre, Aditya Birla Hospital Marg, opposite Pudumjee Paper Mill, Thergaon, Pimpri-Chinchwad, Maharashtra 411033",070573 43039,google_maps,N/A,18.6197459,73.7717929,"https://www.google.com/maps/place/Dr.+Nilesh+Nadkarni+Neurologist/@18.6197459,73.6275973,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali!3m6!1s0x3bc2b9637e8008b9:0x8565f9589c24ae09!8m2!3d18.6197459!4d73.7717929!15sChduZXVyb2xvZ2lzdCBpbiBDaGlraGFsaVoZIhduZXVyb2xvZ2lzdCBpbiBjaGlraGFsaZIBC25ldXJvbG9naXN04AEA!16s%2Fg%2F11qg4wz05g?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Hi-Tech sports physiotherapy & paralysis center,moshi,pune",neurologist,Chikhali,,4.9,34,"opposite Silver Central Mall, Jadhav Wadi, Chikhali, moshi, Pimpri-Chinchwad, Maharashtra 411070",098706 55969,google_maps,N/A,18.6684015,73.8297991,"https://www.google.com/maps/place/Hi-Tech+sports+physiotherapy+%26+paralysis+center,moshi,pune/@18.6197459,73.6275973,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali!3m6!1s0x3bc2b741ad27eb6d:0x4200872bd8b395d4!8m2!3d18.6684015!4d73.8297991!15sChduZXVyb2xvZ2lzdCBpbiBDaGlraGFsaVoZIhduZXVyb2xvZ2lzdCBpbiBjaGlraGFsaZIBFHBoeXNpb3RoZXJhcHlfY2VudGVymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJHZVhBM2JHUm5FQUXgAQD6AQUIhAEQSw!16s%2Fg%2F11tfb85t4w?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Jayant Gaud Neurosurgeon in PCMC,neurologist,Chikhali,,5.0,19,"Hospital & Research Centre, DR. D Y PATIL MEDICAL COLLEGE, Opd No 13 Neurosurgery departemnt, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018",090825 52539,google_maps,https://id.vyaparify.com/jayant-gaud-brain-and-spine-surgeon,18.6232127,73.8216955,"https://www.google.com/maps/place/Dr.+Jayant+Gaud+Neurosurgeon+in+PCMC/@18.6197459,73.6275973,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali!3m6!1s0x3bc2b914340c220d:0x6689d3b5e483d477!8m2!3d18.6232127!4d73.8216955!15sChduZXVyb2xvZ2lzdCBpbiBDaGlraGFsaVoZIhduZXVyb2xvZ2lzdCBpbiBjaGlraGFsaZIBDG5ldXJvc3VyZ2VvbuABAA!16s%2Fg%2F11yjhbt7tz?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr. Rahul Pramod Patil,neurologist,Chikhali,,4.7,267,"Genesis Clinic, Shop No. 213, Solitaire Business Hub Opp Ambiance Excellency Hotel Wakad PCMC, Maharashtra 411057",099838 33973,google_maps,N/A,18.6009075,73.7750738,"https://www.google.com/maps/place/Dr.+Rahul+Pramod+Patil/@18.6197459,73.6275973,12z/data=!4m10!1m2!2m1!1sneurologist+in+Chikhali!3m6!1s0x3bc2b9ecc556af65:0x9e9cdff5b1a35217!8m2!3d18.6009075!4d73.7750738!15sChduZXVyb2xvZ2lzdCBpbiBDaGlraGFsaVoZIhduZXVyb2xvZ2lzdCBpbiBjaGlraGFsaZIBDG5ldXJvc3VyZ2VvbpoBJENoZERTVWhOTUc5blMwVkpRMEZuVFVSbk1XVlllRFJCUlJBQuABAPoBBQiAARA8!16s%2Fg%2F11jm7q72k6?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
