name,specialty,city,area,stars,reviews,address,phone,phone_source,website,latitude,longitude,distance_km,maps_url
Dr. Amita Phadnis - Best Pediatrician in Pune,Gediatrics,Pune,,4.9,153,"ONP Hospitals, Ganeshkhind Rd, near Hotel Pride, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005",080556 36600,google_maps,http://dramitaphadnis.com/,18.5318823,73.8473615,1.61,"https://www.google.com/maps/place/Dr.+Amita+Phadnis+-+Best+Pediatrician+in+Pune/@18.5318823,73.7031659,12z/data=!4m10!1m2!2m1!1sGediatrics+in+Pune!3m6!1s0x3bc2c08129e43121:0xb3a2a495235bdd00!8m2!3d18.5318823!4d73.8473615!15sChJQZWRpYXRyaWNzIGluIFB1bmVaFCIScGVkaWF0cmljcyBpbiBwdW5lkgEMcGVkaWF0cmljaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5RY1hSMWRXOW5SUkFC4AEA-gEECDoQQA!16s%2Fg%2F11qh8blrd9?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
KABIR KID’S CLINIC AND DIAGNOSTIC CENTER,Gediatrics,Pune,,4.9,361,"First floor, Khopkar Heights, 106, Quarter Gate Chowk, opposite YMCA, Rasta Peth, Pune, Maharashtra 411002",080557 57676,google_maps,http://kabirdiagnoclinic.com/,18.5165579,73.8711982,1.59,"https://www.google.com/maps/place/KABIR+KID%E2%80%99S+CLINIC+AND+DIAGNOSTIC+CENTER/@18.5318823,73.7031659,12z/data=!3m1!5s0x3bc2c0437f878457:0x66115a71443cd84c!4m10!1m2!2m1!1sGediatrics+in+Pune!3m6!1s0x3bc2c043805c8f6d:0x82e82a0beda6e78b!8m2!3d18.5165579!4d73.8711982!15sChJQZWRpYXRyaWNzIGluIFB1bmVaFCIScGVkaWF0cmljcyBpbiBwdW5lkgEMcGVkaWF0cmljaWFu4AEA!16s%2Fg%2F11vc8wklb6?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dr Anand Pandit Children's Clinic,Gediatrics,Pune,,4.0,147,"First floor, British Library Building, Fergusson College Rd, opposite Hotel, Ganeshwadi, Deccan Gymkhana, Vaishali, Pune, Maharashtra 411004",020 2565 0151,google_maps,N/A,18.5209107,73.8409479,1.66,"https://www.google.com/maps/place/Dr+Anand+Pandit+Children's+Clinic/@18.5318823,73.7031659,12z/data=!4m10!1m2!2m1!1sGediatrics+in+Pune!3m6!1s0x3bc2bf903f9af7bd:0xb84b88968208de21!8m2!3d18.5209107!4d73.8409479!15sChJQZWRpYXRyaWNzIGluIFB1bmVaFCIScGVkaWF0cmljcyBpbiBwdW5lkgEMcGVkaWF0cmljaWFumgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0R2JVNHlUbEphU0ZKdVUxYzViMWRWVm5WVGJVcFRZekZ3UzJGSFl4QULgAQD6AQUIxAMQMQ!16s%2Fg%2F11gbwr9dk5?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
DR SUDHAKAR SHETTYS BABY FRIEND CLINIC,Gediatrics,Pune,,4.6,103,"2nd Floor, 203, 203, MG Road, above Barista Cafe, Camp, Pune, Maharashtra 411001",020 2613 1565,google_maps,N/A,18.518079,73.8792573,2.39,"https://www.google.com/maps/place/DR+SUDHAKAR+SHETTYS+BABY+FRIEND+CLINIC/@18.5318823,73.7031659,12z/data=!4m10!1m2!2m1!1sGediatrics+in+Pune!3m6!1s0x3bc2c04fb00b1707:0x537f129a27c537f6!8m2!3d18.518079!4d73.8792573!15sChJQZWRpYXRyaWNzIGluIFB1bmVaFCIScGVkaWF0cmljcyBpbiBwdW5lkgEMcGVkaWF0cmljaWFumgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJwYWVsZFhOWEJTV0ZFelZsZFZNMU5GVG5wamJsSTJWVlZOZVdSSVl4QULgAQD6AQUIjAQQNw!16s%2Fg%2F1tp8yhgx?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Chiranjeev Clinic & CDC,Gediatrics,Pune,,4.5,55,"Sujata Mastani Chawk, Girija Shankar Apartments, Vasantrao Limaye Rd, Sadashiv Peth, Pune, Maharashtra 411030",096376 41404,google_maps,https://www.chiranjeevgodbole.com/,18.5120827,73.8528925,1.01,"https://www.google.com/maps/place/Chiranjeev+Clinic+%26+CDC/@18.5318823,73.7031659,12z/data=!4m10!1m2!2m1!1sGediatrics+in+Pune!3m6!1s0x3bc2c074ffffffff:0xbfbda19011dda1f1!8m2!3d18.5120827!4d73.8528925!15sChJQZWRpYXRyaWNzIGluIFB1bmVaFCIScGVkaWF0cmljcyBpbiBwdW5lkgEObWVkaWNhbF9jbGluaWOaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjV3UjFSc1VYaE5SRUpIV25wSk1WUkVWVEJUTVZwUFlrUldlRlZYWXhBQuABAPoBBAgYED8!16s%2Fg%2F1tzgmp0c?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
